id;instant;location;distance;type;status;total_duration;value;consider_travel_expenses;travel_expenses_value;do_value_retention;retention_percentage;retention_value;member_value;comments
1;2022-04-07T08:06:50;Quality;13550;CONCERT;PENDING_PAYMENT;82180;64197;true;90910;true;29561;28025;783;Island primary
2;2022-04-07T03:33:20;Bacon;17112;REHEARSAL;PENDING_PAYMENT;52041;75348;true;18829;false;73290;85211;15231;Bebé Desporto
3;2022-04-07T13:14:39;solutions AI;43648;WEDDING;CANCELED;83332;64780;false;84208;false;93201;50688;67347;Account Toalhas deposit
4;2022-04-07T15:56:39;Saúde Barbados Hampshire;75587;SHOWCASE;CLOSED;96406;13343;true;76730;true;28150;91894;60808;redundant Forward
5;2022-04-06T23:41:21;JSON;55209;CONCERT;PENDING_PAYMENT;16715;86508;false;27164;true;26914;20536;65693;Jogos Balboa Fantástico
6;2022-04-07T19:37:55;stable Missouri haptic;52632;OTHER;CANCELED;65667;76870;true;39288;true;15641;90467;79823;ameixa solution Artesanal
7;2022-04-07T17:58:37;generate Botsuana;41615;CONCERT;PENDING_AVAILABILITY;47058;94820;true;1703;false;74099;74625;69878;program ouro
8;2022-04-07T21:08:43;vermelho Avon Checking;2354;WEDDING;SCHEDULED;69749;15755;false;42486;true;17550;85030;1529;neural invoice Springs
9;2022-04-07T02:42:57;infrastructures bluetooth;31928;WEDDING;PENDING_AVAILABILITY;47870;32937;false;66004;true;4350;14691;27260;Market Jogos
10;2022-04-07T12:06:51;Monserrate Pound applications;84028;CONCERT;CANCELED;34149;65837;false;53163;true;38315;76331;92984;JSON
